fecha_hora,estacion,pm25_concentracion,pm25_media_movil,iboca
2021-01-01 02:00:00,CDAR,25.0,22.7,72.8
2021-01-01 02:00:00,Carvajal - Sevillana,145.0,53.8,145.99
2021-01-01 02:00:00,Ciudad Bolívar,39.0,20.3,67.66
2021-01-01 02:00:00,Fontibon,79.0,33.4,95.72
2021-01-01 02:00:00,Guaymaral,11.0,19.2,65.31
2021-01-01 02:00:00,Kennedy,190.0,48.5,132.7
2021-01-01 02:00:00,Las Ferias,52.0,25.1,77.94
2021-01-01 02:00:00,MinAmbiente,12.0,23.4,74.3
2021-01-01 02:00:00,Móvil 7ma,61.0,36.3,102.11
2021-01-01 02:00:00,Puente Aranda,36.0,31.3,91.22
2021-01-01 02:00:00,San Cristobal,14.0,27.3,82.65
2021-01-01 02:00:00,Suba,27.0,24.5,76.66
2021-01-01 02:00:00,Tunal,143.0,34.0,97.0
2021-01-01 02:00:00,Usaquen,20.0,17.9,62.52
2021-01-01 02:00:00,Usme,59.0,30.3,89.08
2021-01-01 03:00:00,Bolivia,62.0,34.7,98.5
2021-01-01 03:00:00,CDAR,48.0,23.8,75.16
2021-01-01 03:00:00,Carvajal - Sevillana,188.0,60.7,152.83
2021-01-01 03:00:00,Ciudad Bolívar,70.0,22.7,72.8
2021-01-01 03:00:00,Fontibon,62.0,35.4,100.0
2021-01-01 03:00:00,Guaymaral,25.0,19.3,65.52
2021-01-01 03:00:00,Kennedy,72.0,50.4,137.46
2021-01-01 03:00:00,Las Ferias,41.0,25.8,79.44
2021-01-01 03:00:00,Móvil 7ma,48.0,37.5,105.12
2021-01-01 03:00:00,Puente Aranda,50.0,32.8,94.43
2021-01-01 03:00:00,San Cristobal,17.0,26.5,80.94
2021-01-01 03:00:00,Suba,33.0,24.8,77.3
2021-01-01 03:00:00,Tunal,171.0,40.7,113.14
2021-01-01 03:00:00,Usaquen,11.0,17.0,60.59
2021-01-01 03:00:00,Usme,62.0,31.8,92.29
2021-01-01 04:00:00,Bolivia,94.0,37.9,106.12
2021-01-01 04:00:00,CDAR,69.0,25.9,79.65
2021-01-01 04:00:00,Carvajal - Sevillana,42.0,60.9,152.94
2021-01-01 04:00:00,Ciudad Bolívar,80.0,25.3,78.37
2021-01-01 04:00:00,Fontibon,54.0,36.9,103.61
2021-01-01 04:00:00,Guaymaral,19.0,19.4,65.73
2021-01-01 04:00:00,Kennedy,72.0,52.1,141.73
2021-01-01 04:00:00,Las Ferias,26.0,25.9,79.65
2021-01-01 04:00:00,MinAmbiente,11.0,22.6,72.59
2021-01-01 04:00:00,Móvil 7ma,44.0,38.4,107.37
2021-01-01 04:00:00,Puente Aranda,54.0,34.0,97.0
2021-01-01 04:00:00,San Cristobal,47.0,27.9,83.94
2021-01-01 04:00:00,Suba,64.0,26.4,80.73
2021-01-01 04:00:00,Tunal,23.0,41.3,114.64
2021-01-01 04:00:00,Usaquen,7.0,16.3,59.09
2021-01-01 04:00:00,Usme,63.0,33.4,95.72
2021-01-01 05:00:00,Bolivia,98.0,40.8,113.39
2021-01-01 05:00:00,CDAR,52.0,27.3,82.65
2021-01-01 05:00:00,Carvajal - Sevillana,10.0,59.8,152.36
2021-01-01 05:00:00,Ciudad Bolívar,56.0,27.1,82.22
2021-01-01 05:00:00,Fontibon,53.0,38.4,107.37
2021-01-01 05:00:00,Guaymaral,5.0,18.6,64.02
2021-01-01 05:00:00,Kennedy,57.0,53.0,143.98
2021-01-01 05:00:00,Las Ferias,31.0,26.4,80.73
2021-01-01 05:00:00,MinAmbiente,13.0,21.8,70.87
2021-01-01 05:00:00,Móvil 7ma,39.0,39.0,108.88
2021-01-01 05:00:00,Puente Aranda,69.0,36.0,101.35
2021-01-01 05:00:00,San Cristobal,33.0,28.3,84.79
2021-01-01 05:00:00,Suba,44.0,27.3,82.65
2021-01-01 05:00:00,Tunal,1.0,40.3,112.14
2021-01-01 05:00:00,Usaquen,5.0,15.7,57.81
2021-01-01 05:00:00,Usme,52.0,34.7,98.5
2021-01-01 06:00:00,Bolivia,73.0,43.0,118.91
2021-01-01 06:00:00,CDAR,49.0,28.7,85.65
2021-01-01 06:00:00,Carvajal - Sevillana,18.0,57.9,151.36
2021-01-01 06:00:00,Ciudad Bolívar,38.0,27.9,83.94
2021-01-01 06:00:00,Fontibon,56.0,40.0,111.38
2021-01-01 06:00:00,Guaymaral,27.0,18.8,64.45
2021-01-01 06:00:00,Kennedy,21.0,52.3,142.23
2021-01-01 06:00:00,Las Ferias,27.0,27.0,82.01
2021-01-01 06:00:00,MinAmbiente,30.0,22.1,71.52
2021-01-01 06:00:00,Móvil 7ma,15.0,38.2,106.87
2021-01-01 06:00:00,Puente Aranda,20.0,35.8,100.85
2021-01-01 06:00:00,San Cristobal,16.0,27.5,83.08
2021-01-01 06:00:00,Suba,37.0,27.7,83.51
2021-01-01 06:00:00,Tunal,9.0,39.4,109.88
2021-01-01 06:00:00,Usaquen,3.0,14.9,56.1
2021-01-01 06:00:00,Usme,45.0,35.7,100.6
2021-01-01 07:00:00,Bolivia,62.0,44.3,122.17
2021-01-01 07:00:00,CDAR,37.0,29.4,87.15
2021-01-01 07:00:00,Carvajal - Sevillana,22.0,56.8,150.78
2021-01-01 07:00:00,Ciudad Bolívar,27.0,28.0,84.15
2021-01-01 07:00:00,Fontibon,19.0,39.8,110.88
2021-01-01 07:00:00,Guaymaral,18.0,18.5,63.81
2021-01-01 07:00:00,Kennedy,15.0,51.3,139.72
2021-01-01 07:00:00,Las Ferias,2.0,26.0,79.87
2021-01-01 07:00:00,MinAmbiente,10.0,21.4,70.02
2021-01-01 07:00:00,Móvil 7ma,8.0,37.0,103.86
2021-01-01 07:00:00,Puente Aranda,37.0,36.0,101.35
2021-01-01 07:00:00,San Cristobal,11.0,26.5,80.94
2021-01-01 07:00:00,Suba,32.0,28.0,84.15
2021-01-01 07:00:00,Tunal,20.0,39.3,109.63
2021-01-01 07:00:00,Usaquen,2.0,14.5,55.24
2021-01-01 07:00:00,Usme,37.0,36.1,101.6
2021-01-01 08:00:00,Bolivia,58.0,45.6,125.43
2021-01-01 08:00:00,CDAR,24.0,29.3,86.94
2021-01-01 08:00:00,Carvajal - Sevillana,28.0,55.4,150.0
2021-01-01 08:00:00,Ciudad Bolívar,29.0,28.1,84.37
2021-01-01 08:00:00,Fontibon,9.0,39.0,108.88
2021-01-01 08:00:00,Guaymaral,8.0,17.9,62.52
2021-01-01 08:00:00,Kennedy,37.0,51.0,138.97
2021-01-01 08:00:00,Las Ferias,9.0,25.0,77.73
2021-01-01 08:00:00,MinAmbiente,11.0,20.8,68.73
2021-01-01 08:00:00,Móvil 7ma,10.0,35.7,100.6
2021-01-01 08:00:00,Puente Aranda,39.0,36.2,101.86
2021-01-01 08:00:00,San Cristobal,19.0,26.1,80.08
2021-01-01 08:00:00,Suba,10.0,27.2,82.44
2021-01-01 08:00:00,Tunal,5.0,38.1,106.62
2021-01-01 08:00:00,Usaquen,1.0,13.5,53.1
2021-01-01 08:00:00,Usme,28.0,35.9,101.1
2021-01-01 09:00:00,Bolivia,39.0,45.9,126.18
2021-01-01 09:00:00,CDAR,17.0,28.8,85.87
2021-01-01 09:00:00,Carvajal - Sevillana,30.0,53.6,145.49
2021-01-01 09:00:00,Ciudad Bolívar,21.0,27.8,83.72
2021-01-01 09:00:00,Fontibon,15.0,38.0,106.37
2021-01-01 09:00:00,Guaymaral,5.0,17.0,60.59
2021-01-01 09:00:00,Kennedy,13.0,49.8,135.96
2021-01-01 09:00:00,Las Ferias,6.0,24.0,75.59
2021-01-01 09:00:00,MinAmbiente,11.0,19.9,66.8
2021-01-01 09:00:00,Móvil 7ma,12.0,34.4,97.86
2021-01-01 09:00:00,Puente Aranda,46.0,36.8,103.36
2021-01-01 09:00:00,Suba,7.0,26.4,80.73
2021-01-01 09:00:00,Tunal,11.0,37.1,104.11
2021-01-01 09:00:00,Usaquen,1.0,12.8,51.6
2021-01-01 09:00:00,Usme,20.0,35.4,100.0
2021-01-01 10:00:00,Bolivia,27.0,45.5,125.18
2021-01-01 10:00:00,Carvajal - Sevillana,49.0,52.3,142.23
2021-01-01 10:00:00,Ciudad Bolívar,23.0,27.7,83.51
2021-01-01 10:00:00,Fontibon,9.0,37.3,104.61
2021-01-01 10:00:00,Guaymaral,3.0,16.0,58.45
2021-01-01 10:00:00,Kennedy,17.0,48.2,131.95
2021-01-01 10:00:00,Las Ferias,3.0,23.1,73.66
2021-01-01 10:00:00,MinAmbiente,6.0,18.8,64.45
2021-01-01 10:00:00,Móvil 7ma,9.0,33.4,95.72
2021-01-01 10:00:00,Puente Aranda,23.0,36.1,101.6
2021-01-01 10:00:00,San Cristobal,2.0,24.8,77.3
2021-01-01 10:00:00,Suba,3.0,25.5,78.8
2021-01-01 10:00:00,Tunal,5.0,36.3,102.11
2021-01-01 10:00:00,Usaquen,2.0,12.0,50.0
2021-01-01 10:00:00,Usme,15.0,34.8,98.72
2021-01-01 11:00:00,Bolivia,18.0,45.1,124.17
2021-01-01 11:00:00,Carvajal - Sevillana,31.0,51.4,139.97
2021-01-01 11:00:00,Ciudad Bolívar,17.0,27.4,82.87
2021-01-01 11:00:00,Fontibon,5.0,36.4,102.36
2021-01-01 11:00:00,Guaymaral,5.0,15.3,56.95
2021-01-01 11:00:00,Kennedy,23.0,47.1,129.19
2021-01-01 11:00:00,Las Ferias,2.0,22.6,72.59
2021-01-01 11:00:00,MinAmbiente,1.0,17.7,62.09
2021-01-01 11:00:00,Móvil 7ma,3.0,32.4,93.58
2021-01-01 11:00:00,Puente Aranda,19.0,35.3,99.79
2021-01-01 11:00:00,San Cristobal,9.0,24.1,75.8
2021-01-01 11:00:00,Usaquen,2.0,11.3,47.08
2021-01-01 11:00:00,Usme,11.0,34.3,97.64
2021-01-01 12:00:00,Bolivia,15.0,44.6,122.92
2021-01-01 12:00:00,Ciudad Bolívar,12.0,27.1,82.22
2021-01-01 12:00:00,Fontibon,4.0,35.8,100.85
2021-01-01 12:00:00,Guaymaral,2.0,15.0,56.31
2021-01-01 12:00:00,Kennedy,14.0,45.7,125.68
2021-01-01 12:00:00,Las Ferias,5.0,22.2,71.73
2021-01-01 12:00:00,MinAmbiente,5.0,17.2,61.02
2021-01-01 12:00:00,Puente Aranda,9.0,33.8,96.57
2021-01-01 12:00:00,San Cristobal,6.0,23.2,73.87
2021-01-01 12:00:00,Usaquen,2.0,11.0,45.83
2021-01-01 12:00:00,Usme,7.0,33.9,96.79
2021-01-01 13:00:00,Bolivia,11.0,43.6,120.41
2021-01-01 13:00:00,CDAR,3.0,30.6,89.72
2021-01-01 13:00:00,Carvajal - Sevillana,40.0,49.2,134.45
2021-01-01 13:00:00,Ciudad Bolívar,9.0,26.8,81.58
2021-01-01 13:00:00,Fontibon,6.0,34.9,98.93
2021-01-01 13:00:00,Guaymaral,3.0,14.8,55.88
2021-01-01 13:00:00,Kennedy,11.0,44.8,123.42
2021-01-01 13:00:00,Las Ferias,6.0,22.0,71.3
2021-01-01 13:00:00,MinAmbiente,3.0,16.9,60.38
2021-01-01 13:00:00,Móvil 7ma,5.0,31.5,91.65
2021-01-01 13:00:00,Puente Aranda,19.0,33.0,94.86
2021-01-01 13:00:00,San Cristobal,8.0,22.5,72.37
2021-01-01 13:00:00,Suba,2.0,26.9,81.8
2021-01-01 13:00:00,Tunal,1.0,37.1,104.11
2021-01-01 13:00:00,Usaquen,12.0,11.1,46.25
2021-01-01 13:00:00,Usme,5.0,33.5,95.93
2021-01-01 14:00:00,Bolivia,8.0,42.3,117.15
2021-01-01 14:00:00,CDAR,3.0,28.4,85.01
2021-01-01 14:00:00,Carvajal - Sevillana,30.0,49.1,134.2
2021-01-01 14:00:00,Ciudad Bolívar,7.0,26.7,81.37
2021-01-01 14:00:00,Fontibon,6.0,33.5,95.93
2021-01-01 14:00:00,Guaymaral,4.0,14.8,55.88
2021-01-01 14:00:00,Kennedy,11.0,43.6,120.41
2021-01-01 14:00:00,Las Ferias,4.0,20.4,67.88
2021-01-01 14:00:00,MinAmbiente,3.0,15.2,56.74
2021-01-01 14:00:00,Móvil 7ma,8.0,29.3,86.94
2021-01-01 14:00:00,San Cristobal,7.0,21.8,70.87
2021-01-01 14:00:00,Suba,3.0,25.9,79.65
2021-01-01 14:00:00,Tunal,6.0,36.6,102.86
2021-01-01 14:00:00,Usaquen,7.0,11.0,45.83
2021-01-01 14:00:00,Usme,4.0,32.6,94.0
2021-01-01 15:00:00,Bolivia,6.0,41.1,114.14
2021-01-01 15:00:00,CDAR,2.0,26.7,81.37
2021-01-01 15:00:00,Carvajal - Sevillana,39.0,50.1,136.71
2021-01-01 15:00:00,Ciudad Bolívar,6.0,26.6,81.15
2021-01-01 15:00:00,Fontibon,4.0,32.1,92.93
2021-01-01 15:00:00,Kennedy,26.0,43.2,119.41
2021-01-01 15:00:00,Las Ferias,6.0,19.3,65.52
2021-01-01 15:00:00,MinAmbiente,5.0,13.6,53.31
2021-01-01 15:00:00,Móvil 7ma,10.0,28.1,84.37
2021-01-01 15:00:00,Puente Aranda,6.0,31.2,91.01
2021-01-01 15:00:00,San Cristobal,18.0,21.1,69.37
2021-01-01 15:00:00,Tunal,7.0,35.8,100.85
2021-01-01 15:00:00,Usaquen,6.0,10.6,44.17
2021-01-01 15:00:00,Usme,2.0,31.2,91.01
2021-01-01 16:00:00,Bolivia,7.0,39.6,110.38
2021-01-01 16:00:00,CDAR,4.0,25.8,79.44
2021-01-01 16:00:00,Carvajal - Sevillana,78.0,52.2,141.98
2021-01-01 16:00:00,Ciudad Bolívar,5.0,26.5,80.94
2021-01-01 16:00:00,Fontibon,8.0,30.4,89.29
2021-01-01 16:00:00,Guaymaral,4.0,13.9,53.95
2021-01-01 16:00:00,Kennedy,14.0,42.0,116.4
2021-01-01 16:00:00,Las Ferias,5.0,18.2,63.16
2021-01-01 16:00:00,MinAmbiente,3.0,12.5,50.96
2021-01-01 16:00:00,Móvil 7ma,7.0,27.1,82.22
2021-01-01 16:00:00,Puente Aranda,9.0,30.9,90.36
2021-01-01 16:00:00,San Cristobal,14.0,20.5,68.09
2021-01-01 16:00:00,Tunal,6.0,35.0,99.14
2021-01-01 16:00:00,Usaquen,4.0,9.4,39.17
2021-01-01 16:00:00,Usme,2.0,29.8,88.01
2021-01-01 17:00:00,Bolivia,6.0,38.4,107.37
2021-01-01 17:00:00,CDAR,6.0,25.0,77.73
2021-01-01 17:00:00,Carvajal - Sevillana,53.0,53.3,144.73
2021-01-01 17:00:00,Ciudad Bolívar,4.0,26.4,80.73
2021-01-01 17:00:00,Fontibon,8.0,29.6,87.58
2021-01-01 17:00:00,Guaymaral,5.0,13.3,52.67
2021-01-01 17:00:00,Kennedy,21.0,42.2,116.9
2021-01-01 17:00:00,Las Ferias,6.0,17.2,61.02
2021-01-01 17:00:00,MinAmbiente,2.0,11.5,47.92
2021-01-01 17:00:00,Móvil 7ma,9.0,25.9,79.65
2021-01-01 17:00:00,Puente Aranda,16.0,30.5,89.51
2021-01-01 17:00:00,San Cristobal,13.0,20.2,67.45
2021-01-01 17:00:00,Suba,3.0,23.6,74.73
2021-01-01 17:00:00,Tunal,5.0,34.6,98.29
2021-01-01 17:00:00,Usaquen,3.0,8.8,36.67
2021-01-01 17:00:00,Usme,1.0,28.6,85.44
2021-01-01 18:00:00,Bolivia,5.0,37.4,104.86
2021-01-01 18:00:00,CDAR,5.0,24.3,76.23
2021-01-01 18:00:00,Carvajal - Sevillana,27.0,52.8,143.48
2021-01-01 18:00:00,Ciudad Bolívar,7.0,26.1,80.08
2021-01-01 18:00:00,Fontibon,9.0,28.9,86.08
2021-01-01 18:00:00,Guaymaral,3.0,12.7,51.38
2021-01-01 18:00:00,Kennedy,20.0,42.0,116.4
2021-01-01 18:00:00,Las Ferias,8.0,16.5,59.52
2021-01-01 18:00:00,MinAmbiente,5.0,10.5,43.75
2021-01-01 18:00:00,Móvil 7ma,10.0,24.9,77.51
2021-01-01 18:00:00,Puente Aranda,30.0,30.6,89.72
2021-01-01 18:00:00,San Cristobal,15.0,19.7,66.38
2021-01-01 18:00:00,Suba,16.0,34.2,97.43
2021-01-01 18:00:00,Tunal,3.0,8.5,35.42
2021-01-01 18:00:00,Usaquen,1.0,27.5,83.08
2021-01-01 19:00:00,Bolivia,5.0,36.3,102.11
2021-01-01 19:00:00,CDAR,6.0,23.4,74.3
2021-01-01 19:00:00,Carvajal - Sevillana,8.0,51.3,139.72
2021-01-01 19:00:00,Ciudad Bolívar,5.0,25.9,79.65
2021-01-01 19:00:00,Fontibon,11.0,28.2,84.58
2021-01-01 19:00:00,Guaymaral,2.0,12.0,50.0
2021-01-01 19:00:00,Kennedy,20.0,41.4,114.89
2021-01-01 19:00:00,Las Ferias,7.0,16.1,58.67
2021-01-01 19:00:00,MinAmbiente,5.0,9.7,40.42
2021-01-01 19:00:00,Móvil 7ma,22.0,24.5,76.66
2021-01-01 19:00:00,San Cristobal,13.0,18.8,64.45
2021-01-01 19:00:00,Suba,1.0,23.1,73.66
2021-01-01 19:00:00,Tunal,11.0,33.8,96.57
2021-01-01 19:00:00,Usaquen,2.0,7.9,32.92
2021-01-01 19:00:00,Usme,1.0,25.9,79.65
2021-01-01 20:00:00,Bolivia,7.0,35.3,99.79
2021-01-01 20:00:00,CDAR,6.0,22.4,72.16
2021-01-01 20:00:00,Carvajal - Sevillana,28.0,50.6,137.96
2021-01-01 20:00:00,Ciudad Bolívar,4.0,25.4,78.58
2021-01-01 20:00:00,Fontibon,10.0,25.5,78.8
2021-01-01 20:00:00,Guaymaral,6.0,11.2,46.67
2021-01-01 20:00:00,Kennedy,15.0,40.3,112.14
2021-01-01 20:00:00,Las Ferias,6.0,15.7,57.81
2021-01-01 20:00:00,MinAmbiente,4.0,9.0,37.5
2021-01-01 20:00:00,Móvil 7ma,19.0,23.5,74.51
2021-01-01 20:00:00,San Cristobal,8.0,18.0,62.74
2021-01-01 20:00:00,Suba,17.0,22.8,73.02
2021-01-01 20:00:00,Tunal,7.0,33.2,95.29
2021-01-01 20:00:00,Usaquen,2.0,7.4,30.83
2021-01-01 20:00:00,Usme,2.0,24.5,76.66
2021-01-01 21:00:00,Bolivia,6.0,34.3,97.64
2021-01-01 21:00:00,CDAR,5.0,21.6,70.45
2021-01-01 21:00:00,Carvajal - Sevillana,13.0,49.5,135.21
2021-01-01 21:00:00,Ciudad Bolívar,3.0,24.6,76.87
2021-01-01 21:00:00,Fontibon,16.0,25.1,77.94
2021-01-01 21:00:00,Guaymaral,7.0,10.5,43.75
2021-01-01 21:00:00,Kennedy,15.0,39.3,109.63
2021-01-01 21:00:00,Las Ferias,15.0,15.2,56.74
2021-01-01 21:00:00,MinAmbiente,6.0,8.4,35.0
2021-01-01 21:00:00,Móvil 7ma,16.0,22.1,71.52
2021-01-01 21:00:00,San Cristobal,11.0,17.3,61.24
2021-01-01 21:00:00,Suba,10.0,22.1,71.52
2021-01-01 21:00:00,Tunal,5.0,31.7,92.08
2021-01-01 21:00:00,Usaquen,2.0,6.7,27.92
2021-01-01 21:00:00,Usme,2.0,23.4,74.3
2021-01-01 22:00:00,Bolivia,6.0,32.8,94.43
2021-01-01 22:00:00,CDAR,5.0,20.9,68.95
2021-01-01 22:00:00,Carvajal - Sevillana,19.0,48.3,132.2
2021-01-01 22:00:00,Ciudad Bolívar,3.0,23.6,74.73
2021-01-01 22:00:00,Fontibon,18.0,24.8,77.3
2021-01-01 22:00:00,Guaymaral,6.0,9.7,40.42
2021-01-01 22:00:00,Kennedy,1.0,36.9,103.61
2021-01-01 22:00:00,Las Ferias,13.0,14.5,55.24
2021-01-01 22:00:00,MinAmbiente,9.0,7.9,32.92
2021-01-01 22:00:00,Móvil 7ma,5.0,20.0,67.02
2021-01-01 22:00:00,Puente Aranda,8.0,28.7,85.65
2021-01-01 22:00:00,San Cristobal,8.0,16.9,60.38
2021-01-01 22:00:00,Suba,8.0,21.0,69.16
2021-01-01 22:00:00,Tunal,13.0,31.0,90.58
2021-01-01 22:00:00,Usaquen,1.0,5.9,24.58
2021-01-01 22:00:00,Usme,2.0,21.8,70.87
2021-01-01 23:00:00,Bolivia,6.0,31.7,92.08
2021-01-01 23:00:00,CDAR,5.0,19.7,66.38
2021-01-01 23:00:00,Carvajal - Sevillana,16.0,46.7,128.18
2021-01-01 23:00:00,Ciudad Bolívar,3.0,22.7,72.8
2021-01-01 23:00:00,Fontibon,15.0,23.6,74.73
2021-01-01 23:00:00,Guaymaral,5.0,9.1,37.92
2021-01-01 23:00:00,Kennedy,7.0,35.2,99.57
2021-01-01 23:00:00,Las Ferias,9.0,14.3,54.81
2021-01-01 23:00:00,MinAmbiente,9.0,7.7,32.08
2021-01-01 23:00:00,Móvil 7ma,17.0,19.5,65.95
2021-01-01 23:00:00,Puente Aranda,9.0,27.3,82.65
2021-01-01 23:00:00,San Cristobal,3.0,16.3,59.09
2021-01-01 23:00:00,Suba,9.0,19.7,66.38
2021-01-01 23:00:00,Tunal,7.0,29.5,87.36
2021-01-01 23:00:00,Usaquen,1.0,5.4,22.5
2021-01-01 23:00:00,Usme,6.0,20.9,68.95
2021-01-02 00:00:00,Bolivia,5.0,12.2,50.31
2021-01-02 00:00:00,CDAR,4.0,8.3,34.58
2021-01-02 00:00:00,Carvajal - Sevillana,37.0,25.7,79.23
2021-01-02 00:00:00,Ciudad Bolívar,6.0,8.2,34.17
2021-01-02 00:00:00,Fontibon,7.0,13.6,53.31
2021-01-02 00:00:00,Guaymaral,9.0,12.1,50.1
2021-01-02 00:00:00,Jazmín,10.0,13.2,52.46
2021-01-02 00:00:00,Kennedy,13.0,15.3,56.95
2021-01-02 00:00:00,Las Ferias,9.0,14.9,56.1
2021-01-02 00:00:00,MinAmbiente,5.0,8.7,36.25
2021-01-02 00:00:00,Móvil 7ma,4.0,7.0,29.17
2021-01-02 00:00:00,Puente Aranda,2.0,12.5,50.96
2021-01-02 00:00:00,San Cristobal,7.0,16.0,58.45
2021-01-02 00:00:00,Suba,2.0,6.6,27.5
2021-01-02 00:00:00,Tunal,15.0,14.2,54.6
2021-01-02 00:00:00,Usaquen,3.0,9.2,38.33
2021-01-02 01:00:00,Bolivia,6.0,12.1,50.1
2021-01-02 01:00:00,CDAR,4.0,8.0,33.33
2021-01-02 01:00:00,Carvajal - Sevillana,29.0,25.9,79.65
2021-01-02 01:00:00,Ciudad Bolívar,7.0,8.2,34.17
2021-01-02 01:00:00,Fontibon,13.0,13.2,52.46
2021-01-02 01:00:00,Guaymaral,12.0,12.2,50.31
2021-01-02 01:00:00,Jazmín,16.0,13.1,52.24
2021-01-02 01:00:00,Kennedy,10.0,15.1,56.52
2021-01-02 01:00:00,Las Ferias,19.0,15.0,56.31
2021-01-02 01:00:00,MinAmbiente,9.0,8.3,34.58
2021-01-02 01:00:00,Móvil 7ma,5.0,6.9,28.75
2021-01-02 01:00:00,San Cristobal,5.0,15.6,57.6
2021-01-02 01:00:00,Suba,7.0,6.7,27.92
2021-01-02 01:00:00,Tunal,13.0,13.9,53.95
2021-01-02 01:00:00,Usaquen,12.0,9.0,37.5
2021-01-02 02:00:00,Bolivia,5.0,11.8,49.17
2021-01-02 02:00:00,CDAR,7.0,7.7,32.08
2021-01-02 02:00:00,Carvajal - Sevillana,17.0,25.4,78.58
2021-01-02 02:00:00,Ciudad Bolívar,10.0,8.1,33.75
2021-01-02 02:00:00,Fontibon,16.0,13.1,52.24
2021-01-02 02:00:00,Guaymaral,16.0,12.3,50.53
2021-01-02 02:00:00,Jazmín,30.0,13.4,52.88
2021-01-02 02:00:00,Kennedy,7.0,14.6,55.45
2021-01-02 02:00:00,Las Ferias,15.0,14.5,55.24
2021-01-02 02:00:00,MinAmbiente,11.0,8.4,35.0
2021-01-02 02:00:00,Móvil 7ma,7.0,6.8,28.33
2021-01-02 02:00:00,San Cristobal,16.0,15.4,57.17
2021-01-02 02:00:00,Suba,5.0,6.6,27.5
2021-01-02 02:00:00,Tunal,9.0,13.5,53.1
2021-01-02 02:00:00,Usaquen,8.0,9.0,37.5
2021-01-02 03:00:00,Bolivia,6.0,11.2,46.67
2021-01-02 03:00:00,CDAR,7.0,7.5,31.25
2021-01-02 03:00:00,Carvajal - Sevillana,18.0,24.8,77.3
2021-01-02 03:00:00,Ciudad Bolívar,20.0,8.4,35.0
2021-01-02 03:00:00,Fontibon,17.0,13.1,52.24
2021-01-02 03:00:00,Guaymaral,10.0,11.8,49.17
2021-01-02 03:00:00,Jazmín,31.0,13.4,52.88
2021-01-02 03:00:00,Kennedy,6.0,14.1,54.38
2021-01-02 03:00:00,Las Ferias,16.0,14.6,55.45
2021-01-02 03:00:00,MinAmbiente,8.0,8.3,34.58
2021-01-02 03:00:00,Móvil 7ma,4.0,6.7,27.92
2021-01-02 03:00:00,Puente Aranda,2.0,12.9,51.81
2021-01-02 03:00:00,San Cristobal,15.0,14.8,55.88
2021-01-02 03:00:00,Suba,3.0,6.6,27.5
2021-01-02 03:00:00,Tunal,15.0,13.3,52.67
2021-01-02 03:00:00,Usaquen,8.0,9.1,37.92
2021-01-02 04:00:00,Bolivia,5.0,10.8,45.0
2021-01-02 04:00:00,CDAR,5.0,7.2,30.0
2021-01-02 04:00:00,Carvajal - Sevillana,20.0,24.1,75.8
2021-01-02 04:00:00,Ciudad Bolívar,15.0,8.6,35.83
2021-01-02 04:00:00,Fontibon,12.0,13.2,52.46
2021-01-02 04:00:00,Guaymaral,10.0,11.5,47.92
2021-01-02 04:00:00,Jazmín,24.0,13.2,52.46
2021-01-02 04:00:00,Kennedy,5.0,13.8,53.74
2021-01-02 04:00:00,Las Ferias,27.0,15.3,56.95
2021-01-02 04:00:00,MinAmbiente,5.0,7.7,32.08
