FECHA_HORA,PK_ESTACION,pm25_concentracion,pm25_media_movil,iboca,PK_CONTAMINACION
2021-01-04 04:00:00,0,45.1,45.92,109.04,1349
2021-01-04 05:00:00,1,6.0,9.6,40.0,419
2021-01-04 11:00:00,0,49.9,49.14,69.0,4611
2021-01-04 12:00:00,0,45.61,40.59,78.22,2946
2021-01-04 12:00:00,1,4.0,8.4,35.0,219
2021-01-04 13:00:00,3,2.0,4.0,16.67,704
2021-01-04 15:00:00,0,54.05,60.0,56.4,4874
2021-01-04 19:00:00,4,7.0,8.4,35.0,1311
2021-01-04 21:00:00,18,20.02,18.56,85.41,2727
2021-01-04 22:00:00,18,39.2,37.83,92.53,2642
2021-01-04 23:00:00,18,7.06,15.12,93.59,1894
2021-01-05 00:00:00,0,15.28,12.86,90.04,1556
2021-01-05 00:00:00,15,11.0,7.7,32.08,653
2021-01-05 02:00:00,0,47.11,48.28,85.37,5315
2021-01-05 03:00:00,0,44.08,43.27,104.0,2457
2021-01-05 04:00:00,5,18.0,10.4,43.33,1156
2021-01-05 05:00:00,14,16.0,18.0,62.74,405
2021-01-05 05:00:00,15,12.0,10.3,42.92,1319
2021-01-05 06:00:00,0,47.58,44.1,100.52,2022
2021-01-05 07:00:00,4,27.0,22.5,72.37,823
2021-01-05 08:00:00,0,54.12,52.94,95.71,2654
2021-01-05 13:00:00,3,43.0,38.7,108.12,113
2021-01-05 14:00:00,1,47.0,39.6,110.38,348
2021-01-05 14:00:00,5,4.0,16.6,59.74,978
2021-01-05 16:00:00,0,33.5,34.15,68.28,2294
2021-01-05 17:00:00,17,7.0,17.6,61.88,510
2021-01-05 18:00:00,16,33.18,36.91,85.65,5210
2021-01-05 21:00:00,10,30.0,13.8,53.74,421
2021-01-05 22:00:00,5,9.0,16.2,58.88,197
2021-01-05 23:00:00,1,10.0,17.6,61.88,1227
2021-01-06 00:00:00,18,55.61,54.59,88.47,1665
2021-01-06 03:00:00,1,9.0,8.8,36.67,1256
2021-01-06 05:00:00,14,2.0,4.9,20.42,1025
2021-01-06 08:00:00,0,21.19,21.73,105.15,2369
2021-01-06 08:00:00,5,10.0,10.2,42.5,581
2021-01-06 11:00:00,5,39.0,11.3,47.08,1221
2021-01-06 14:00:00,18,44.03,43.39,94.11,1686
2021-01-06 16:00:00,4,6.0,7.5,31.25,916
2021-01-06 18:00:00,5,4.0,10.8,45.0,559
2021-01-06 20:00:00,0,6.46,7.86,69.13,1664
2021-01-07 01:00:00,0,33.42,31.52,65.51,5313
2021-01-07 01:00:00,4,6.0,5.0,20.83,729
2021-01-07 02:00:00,0,11.96,13.68,58.45,2429
2021-01-07 04:00:00,3,29.0,29.1,86.51,1048
2021-01-07 06:00:00,1,4.0,6.8,28.33,983
2021-01-07 06:00:00,16,2.0,2.1,8.75,431
2021-01-07 07:00:00,3,26.0,28.5,85.22,1
2021-01-07 07:00:00,4,15.0,6.2,25.83,931
2021-01-07 08:00:00,4,21.0,6.9,28.75,59
2021-01-07 08:00:00,5,34.0,9.4,39.17,467
2021-01-07 10:00:00,0,43.76,41.56,100.02,1807
2021-01-07 11:00:00,0,29.3,30.42,55.31,1903
2021-01-07 12:00:00,4,23.0,9.9,41.25,65
2021-01-07 12:00:00,15,16.77,14.36,68.2,1602
2021-01-07 17:00:00,18,49.25,47.25,91.79,4034
2021-01-07 19:00:00,3,20.0,25.4,78.58,691
2021-01-07 20:00:00,0,30.63,32.45,62.68,3572
2021-01-07 21:00:00,1,9.0,10.8,45.0,573
2021-01-08 01:00:00,0,53.0,53.64,103.14,2483
2021-01-08 02:00:00,17,2.0,6.2,25.83,1289
2021-01-08 03:00:00,18,50.0,47.85,107.67,3404
2021-01-08 04:00:00,0,34.09,33.18,98.82,3387
2021-01-08 05:00:00,0,23.87,22.91,103.23,2282
2021-01-08 05:00:00,17,3.0,6.0,25.0,128
2021-01-08 06:00:00,0,36.23,33.41,94.2,3946
2021-01-08 07:00:00,0,18.09,15.54,84.28,4855
2021-01-08 07:00:00,3,15.0,20.9,68.95,429
2021-01-08 07:00:00,18,44.42,47.18,118.69,1876
2021-01-08 08:00:00,14,2.0,2.8,11.67,986
2021-01-08 08:00:00,18,49.38,46.24,97.11,1466
2021-01-08 10:00:00,14,1.0,2.1,8.75,734
2021-01-08 11:00:00,18,5.31,8.14,51.03,4876
2021-01-08 15:00:00,4,3.0,4.3,17.92,936
2021-01-08 15:00:00,18,14.16,15.77,80.8,4542
2021-01-08 17:00:00,15,32.31,30.38,105.64,4281
2021-01-08 18:00:00,4,3.0,3.6,15.0,95
2021-01-08 20:00:00,3,23.0,15.9,58.24,549
2021-01-08 21:00:00,0,51.22,54.71,86.63,4580
2021-01-08 21:00:00,14,5.0,7.8,32.5,218
2021-01-08 22:00:00,0,11.31,6.21,50.51,3406
2021-01-08 23:00:00,1,4.0,3.9,16.25,625
2021-01-09 00:00:00,13,11.0,8.6,35.83,1233
2021-01-09 01:00:00,0,23.29,22.94,83.43,1716
2021-01-09 03:00:00,0,34.84,38.02,99.63,1537
2021-01-09 03:00:00,3,32.0,36.0,101.35,961
2021-01-09 04:00:00,3,15.0,35.6,100.35,1049
2021-01-09 12:00:00,3,33.0,33.2,95.29,613
2021-01-09 12:00:00,4,10.0,20.2,67.45,514
2021-01-09 12:00:00,18,59.02,55.61,54.58,2689
2021-01-09 13:00:00,16,15.0,25.4,78.58,1077
2021-01-09 13:00:00,18,49.3,53.69,108.94,1914
2021-01-09 14:00:00,0,18.13,24.0,100.03,2950
2021-01-09 14:00:00,18,26.91,28.87,97.46,5443
2021-01-09 18:00:00,1,17.0,13.3,52.67,600
2021-01-09 19:00:00,0,11.05,18.02,90.7,3903
2021-01-09 20:00:00,3,33.0,34.4,97.86,31
2021-01-09 20:00:00,4,8.0,15.2,56.74,112
2021-01-09 22:00:00,3,56.0,34.5,98.07,1054
2021-01-09 23:00:00,0,10.77,7.99,111.13,4096
2021-01-10 01:00:00,0,40.32,43.39,54.91,4001
2021-01-10 01:00:00,3,48.0,47.3,129.69,595
2021-01-10 03:00:00,3,55.0,50.1,136.71,193
2021-01-10 06:00:00,4,40.0,20.9,68.95,1195
2021-01-10 10:00:00,1,16.0,15.5,57.38,131
2021-01-10 10:00:00,3,61.0,54.9,148.75,518
2021-01-10 15:00:00,14,24.78,22.51,115.83,4891
2021-01-10 16:00:00,5,5.0,18.3,63.38,473
2021-01-10 17:00:00,15,53.65,49.3,56.51,2957
2021-01-10 21:00:00,5,42.18,39.76,74.72,2663
2021-01-10 23:00:00,3,35.0,47.8,130.94,1293
2021-01-11 00:00:00,3,25.0,24.8,77.3,415
2021-01-11 01:00:00,0,39.45,39.91,71.46,5209
2021-01-11 02:00:00,4,12.0,12.3,50.53,1128
2021-01-11 03:00:00,0,7.61,9.03,51.27,3988
2021-01-11 05:00:00,17,16.0,9.5,39.58,719
2021-01-11 07:00:00,0,17.5,19.18,56.33,4481
2021-01-11 08:00:00,1,16.0,8.6,35.83,537
2021-01-11 12:00:00,3,39.0,27.6,83.3,844
2021-01-11 13:00:00,5,12.0,9.1,37.92,1285
2021-01-11 14:00:00,16,24.0,15.8,58.02,1088
2021-01-11 16:00:00,17,27.0,14.1,54.38,881
2021-01-11 16:00:00,18,10.0,9.4,39.17,1184
2021-01-11 17:00:00,0,51.44,53.42,55.51,2949
2021-01-11 21:00:00,0,38.38,32.89,61.26,5110
2021-01-12 00:00:00,0,36.67,42.59,97.45,4972
2021-01-12 00:00:00,16,14.0,8.5,35.42,904
2021-01-12 04:00:00,0,48.63,50.43,53.92,3456
2021-01-12 04:00:00,14,11.0,13.0,52.03,552
2021-01-12 05:00:00,1,18.0,13.8,53.74,937
2021-01-12 06:00:00,14,14.0,11.6,48.33,979
2021-01-12 08:00:00,18,22.0,5.9,24.58,837
2021-01-12 13:00:00,3,47.0,51.2,139.47,753
2021-01-12 13:00:00,17,12.0,14.0,54.17,1290
2021-01-12 15:00:00,1,17.0,17.2,61.02,1045
2021-01-12 16:00:00,5,10.0,5.2,21.67,779
2021-01-12 18:00:00,18,32.0,14.8,55.88,622
2021-01-12 19:00:00,0,9.99,9.48,75.36,4286
2021-01-12 19:00:00,18,27.58,26.99,94.8,4983
2021-01-12 22:00:00,5,22.0,9.4,39.17,633
2021-01-12 22:00:00,15,61.0,22.5,72.37,11
2021-01-12 23:00:00,3,60.0,57.6,151.2,1192
2021-01-12 23:00:00,15,95.0,26.8,81.58,1224
2021-01-13 00:00:00,15,36.23,33.23,83.74,4164
2021-01-13 03:00:00,3,35.82,35.31,106.01,4066
2021-01-13 03:00:00,4,10.19,8.23,55.81,3956
2021-01-13 05:00:00,0,56.58,47.25,63.45,3004
2021-01-13 09:00:00,1,7.41,5.02,99.43,4977
2021-01-13 11:00:00,3,19.86,15.07,105.65,1730
2021-01-13 12:00:00,13,19.54,14.92,118.4,2013
2021-01-13 13:00:00,5,16.51,16.23,117.66,5229
2021-01-13 14:00:00,17,35.96,41.41,66.18,5191
2021-01-13 14:00:00,18,29.22,27.62,80.28,1496
2021-01-13 15:00:00,3,54.22,53.81,102.38,2240
2021-01-13 16:00:00,0,34.43,38.29,103.56,5256
2021-01-13 16:00:00,16,41.57,39.39,58.87,1493
2021-01-13 17:00:00,14,55.34,53.74,105.86,2077
2021-01-13 18:00:00,0,12.67,12.26,88.53,4588
2021-01-13 20:00:00,0,19.96,25.56,92.2,2843
2021-01-13 20:00:00,15,39.39,40.68,67.65,1774
2021-01-13 22:00:00,13,40.94,41.61,94.21,5115
2021-01-14 05:00:00,0,45.89,47.83,62.42,4138
2021-01-14 05:00:00,16,35.67,36.12,51.67,5317
2021-01-14 07:00:00,0,38.77,34.82,68.64,3700
2021-01-14 07:00:00,5,35.06,34.72,66.14,3188
2021-01-14 08:00:00,9,27.72,27.96,56.69,2585
2021-01-14 10:00:00,1,30.04,29.26,101.47,3482
2021-01-14 11:00:00,0,18.57,18.68,98.97,4409
2021-01-14 14:00:00,16,23.76,26.1,97.33,2878
2021-01-14 16:00:00,3,11.01,10.6,69.08,2395
2021-01-14 20:00:00,18,43.92,43.33,103.89,1932
2021-01-14 21:00:00,18,57.39,60.0,99.32,4037
2021-01-14 22:00:00,1,32.73,29.93,89.12,4423
2021-01-15 01:00:00,1,43.86,44.49,81.25,3271
2021-01-15 02:00:00,16,37.22,38.78,98.38,3492
2021-01-15 03:00:00,4,57.73,58.34,110.77,4821
2021-01-15 03:00:00,17,15.11,17.69,58.49,2218
2021-01-15 04:00:00,3,45.97,45.53,94.06,2804
2021-01-15 04:00:00,14,29.4,30.23,91.48,2016
2021-01-15 05:00:00,1,56.03,53.31,119.34,3172
2021-01-15 05:00:00,3,25.71,26.57,90.39,3139
2021-01-15 06:00:00,0,28.26,27.02,93.6,2247
2021-01-15 06:00:00,15,23.98,25.0,52.81,4665
2021-01-15 06:00:00,16,43.21,40.55,109.59,4495
2021-01-15 09:00:00,0,42.58,41.34,108.2,5124
2021-01-15 12:00:00,3,52.92,55.39,77.94,3100
2021-01-15 13:00:00,5,23.93,27.36,100.46,3477
2021-01-15 14:00:00,0,21.9,21.22,58.24,2367
2021-01-15 15:00:00,0,35.53,36.66,117.41,4357
2021-01-15 16:00:00,1,51.06,53.53,72.09,5414
2021-01-15 18:00:00,14,35.51,39.39,93.01,3854
2021-01-15 19:00:00,0,28.55,33.3,81.86,2616
2021-01-15 19:00:00,4,29.53,32.96,110.32,5095
2021-01-15 20:00:00,3,32.81,28.17,60.23,3732
2021-01-15 20:00:00,15,55.5,57.82,117.48,4178
2021-01-15 21:00:00,14,49.96,49.82,87.91,3161
2021-01-16 03:00:00,1,51.23,54.21,103.3,5394
2021-01-16 05:00:00,0,16.51,18.55,81.05,2038
2021-01-16 06:00:00,0,50.36,50.56,58.83,4696
2021-01-16 06:00:00,14,51.54,49.5,99.24,2842
2021-01-16 12:00:00,3,58.93,55.7,105.86,1574
2021-01-16 13:00:00,18,59.36,58.58,109.84,1579
2021-01-16 15:00:00,0,28.7,28.0,68.71,1370
2021-01-16 15:00:00,4,39.83,40.72,73.13,2807
2021-01-16 17:00:00,0,34.35,32.2,118.49,4893
2021-01-16 18:00:00,1,17.03,17.97,89.75,2172
2021-01-16 18:00:00,17,52.73,56.36,81.4,5248
2021-01-16 19:00:00,3,32.12,28.95,84.04,4637
2021-01-16 20:00:00,3,39.4,44.5,113.53,3658
2021-01-16 21:00:00,5,41.55,39.41,111.16,4297
2021-01-17 02:00:00,1,17.16,23.4,71.96,4566
2021-01-17 02:00:00,17,48.63,48.38,55.64,4910
2021-01-17 03:00:00,0,24.11,20.79,95.95,5003
2021-01-17 04:00:00,0,54.3,54.11,71.15,3357
2021-01-17 04:00:00,5,48.71,50.7,67.29,3872
2021-01-17 05:00:00,3,47.2,40.6,117.93,5280
2021-01-17 05:00:00,18,27.95,38.11,55.33,5461
2021-01-17 06:00:00,0,7.7,6.63,55.33,1546
2021-01-17 06:00:00,3,30.67,30.1,91.38,1961
2021-01-17 06:00:00,18,25.05,19.47,76.26,3567
2021-01-17 08:00:00,0,43.19,42.9,78.67,4451
2021-01-17 09:00:00,0,58.49,60.0,108.94,5169
2021-01-17 12:00:00,0,23.93,24.71,92.89,4747
2021-01-17 13:00:00,3,47.96,49.83,56.75,4829
2021-01-17 15:00:00,1,55.83,57.99,57.2,2918
2021-01-17 19:00:00,0,26.17,29.72,61.17,5088
2021-01-17 21:00:00,0,51.26,59.35,76.44,2115
2021-01-17 22:00:00,13,7.91,5.0,118.86,2768
2021-01-17 22:00:00,18,25.11,25.92,110.12,1610
2021-01-18 00:00:00,4,16.21,13.84,119.67,5217
2021-01-18 02:00:00,0,51.47,46.5,94.93,2553
2021-01-18 05:00:00,18,30.36,28.59,50.2,1965
2021-01-18 08:00:00,0,42.97,41.42,100.83,4528
2021-01-18 10:00:00,1,56.88,50.52,98.5,4266
2021-01-18 10:00:00,15,24.59,26.75,68.07,2377
2021-01-18 11:00:00,13,54.63,54.82,99.99,4132
2021-01-18 14:00:00,1,57.5,59.43,67.02,2535
2021-01-18 14:00:00,4,29.29,34.04,116.69,1775
2021-01-18 14:00:00,15,47.06,50.53,83.46,1988
2021-01-18 15:00:00,1,40.11,38.04,103.04,3709
2021-01-18 16:00:00,9,54.87,56.68,76.55,4717
2021-01-18 16:00:00,18,47.29,42.96,90.68,2069
2021-01-18 17:00:00,0,23.96,22.48,78.39,4945
2021-01-18 17:00:00,10,14.4,22.13,108.2,2357
2021-01-18 18:00:00,18,20.61,14.76,104.75,3022
2021-01-18 19:00:00,13,10.69,15.05,92.76,2052
2021-01-18 20:00:00,0,38.64,39.36,109.38,2027
2021-01-18 22:00:00,4,37.74,37.68,64.04,3829
2021-01-18 22:00:00,14,17.31,19.06,117.75,3346
2021-01-19 01:00:00,18,29.85,28.49,87.12,3435
2021-01-19 02:00:00,3,44.87,45.26,85.2,2671
2021-01-19 06:00:00,18,39.31,34.2,96.16,4051
2021-01-19 07:00:00,4,9.99,8.22,103.93,5109
2021-01-19 08:00:00,14,20.86,19.22,58.75,5386
2021-01-19 09:00:00,9,23.7,22.16,60.29,4120
2021-01-19 09:00:00,10,5.89,5.0,87.15,1618
2021-01-19 09:00:00,14,12.01,10.09,80.12,2106
2021-01-19 10:00:00,1,55.43,56.32,109.29,1843
2021-01-19 11:00:00,0,24.18,30.12,114.75,1678
2021-01-19 12:00:00,5,42.38,43.96,85.66,2420
2021-01-19 13:00:00,15,26.58,25.8,57.34,4754
2021-01-19 13:00:00,18,55.66,52.46,77.12,2720
2021-01-19 14:00:00,18,31.18,23.69,93.67,5469
2021-01-19 15:00:00,13,34.76,38.31,112.81,2911
2021-01-19 16:00:00,0,23.8,21.42,58.34,1584
2021-01-19 18:00:00,3,7.67,8.79,87.4,1484
2021-01-19 19:00:00,5,7.81,11.35,96.1,2255
2021-01-19 20:00:00,0,6.41,10.49,98.2,2516
2021-01-19 23:00:00,1,30.05,28.2,114.8,2173
2021-01-20 01:00:00,0,21.38,21.57,54.88,3257
2021-01-20 04:00:00,18,34.52,33.26,54.75,2653
2021-01-20 07:00:00,3,33.52,31.86,94.46,5293
2021-01-20 09:00:00,0,51.64,51.45,64.19,3873
2021-01-20 09:00:00,3,17.45,19.46,112.5,3103
2021-01-20 10:00:00,18,28.64,27.66,75.73,1627
2021-01-20 11:00:00,0,18.1,13.68,116.54,1569
2021-01-20 12:00:00,15,7.05,6.71,109.66,2744
2021-01-20 13:00:00,4,41.66,42.5,100.06,1941
2021-01-20 14:00:00,3,25.23,24.68,90.08,3659
2021-01-20 19:00:00,3,35.22,30.43,68.3,3504
2021-01-20 20:00:00,13,52.82,56.21,78.4,3927
2021-01-20 23:00:00,14,20.28,19.14,113.07,2859
2021-01-21 00:00:00,0,22.27,23.98,74.79,3354
2021-01-21 00:00:00,9,36.57,33.34,119.61,1506
2021-01-21 01:00:00,0,12.65,13.44,93.35,2518
2021-01-21 02:00:00,13,50.71,47.66,83.06,2726
2021-01-21 04:00:00,0,18.36,21.0,58.64,3959
2021-01-21 05:00:00,3,34.7,36.34,52.42,3874
2021-01-21 05:00:00,16,38.31,33.59,89.66,4205
2021-01-21 05:00:00,17,44.85,45.77,93.96,5007
2021-01-21 06:00:00,9,45.56,48.18,91.42,5182
2021-01-21 07:00:00,10,21.25,22.02,76.98,3503
2021-01-21 07:00:00,16,17.48,16.19,79.56,3269
2021-01-21 08:00:00,15,41.23,37.91,68.66,3990
2021-01-21 11:00:00,3,31.72,29.89,118.92,4915
2021-01-21 12:00:00,0,54.62,51.76,107.79,3232
2021-01-21 15:00:00,0,11.96,6.41,52.28,4721
2021-01-21 15:00:00,16,45.59,43.04,108.85,1353
2021-01-21 16:00:00,15,26.53,26.2,111.54,4813
2021-01-21 17:00:00,16,39.01,36.06,106.8,4759
2021-01-22 01:00:00,16,27.43,25.53,79.41,3792
2021-01-22 03:00:00,3,8.4,8.68,97.77,3950
2021-01-22 03:00:00,18,55.29,58.47,79.39,2731
2021-01-22 04:00:00,15,8.06,8.7,100.58,5091
2021-01-22 05:00:00,3,12.91,11.65,109.5,4471
2021-01-22 09:00:00,0,31.61,31.18,74.24,1743
2021-01-22 10:00:00,0,9.67,13.2,61.49,1500
2021-01-22 12:00:00,18,57.43,60.0,102.46,2628
2021-01-22 13:00:00,16,58.32,59.84,74.83,4243
2021-01-22 14:00:00,3,47.69,42.56,61.21,3150
2021-01-22 15:00:00,1,45.06,49.4,95.56,2800
2021-01-22 16:00:00,1,57.26,51.46,73.26,1758
2021-01-22 17:00:00,4,33.04,36.21,66.87,4517
2021-01-22 19:00:00,5,14.47,12.93,103.52,3645
2021-01-22 19:00:00,14,57.95,57.9,95.27,5032
2021-01-22 20:00:00,18,47.91,49.74,50.86,3049
2021-01-22 22:00:00,0,38.35,39.35,96.31,2660
2021-01-22 22:00:00,4,16.91,16.48,65.88,4787
2021-01-22 22:00:00,14,22.1,22.09,84.56,4928
2021-01-23 00:00:00,4,39.32,41.73,72.3,1378
2021-01-23 00:00:00,14,6.86,8.69,54.99,2780
2021-01-23 02:00:00,0,43.14,44.75,79.03,5262
2021-01-23 02:00:00,17,45.08,41.25,97.95,2515
2021-01-23 06:00:00,18,55.51,54.98,67.32,1561
2021-01-23 07:00:00,18,52.85,52.5,107.43,5037
2021-01-23 08:00:00,1,22.16,20.79,105.81,4988
2021-01-23 09:00:00,0,6.0,5.0,57.64,2510
2021-01-23 09:00:00,16,32.64,27.77,108.9,4209
2021-01-23 09:00:00,18,51.5,47.88,59.7,5130
2021-01-23 10:00:00,18,57.49,60.0,85.87,2312
2021-01-23 11:00:00,14,6.74,8.33,96.11,1945
2021-01-23 12:00:00,3,49.51,47.32,79.59,2652
2021-01-23 13:00:00,16,12.19,9.68,106.46,3616
2021-01-23 13:00:00,18,13.71,12.02,95.13,4295
2021-01-23 14:00:00,1,54.5,52.38,79.81,2570
2021-01-23 15:00:00,0,52.33,59.67,62.45,2611
2021-01-23 17:00:00,5,30.08,32.62,118.65,4524
2021-01-23 18:00:00,0,48.18,46.82,109.1,4379
2021-01-23 19:00:00,0,36.01,32.19,95.22,2686
2021-01-23 19:00:00,3,9.92,11.22,55.93,2472
2021-01-23 22:00:00,18,15.62,15.41,87.0,3291
2021-01-24 01:00:00,16,46.09,43.62,107.63,2543
2021-01-24 03:00:00,0,50.09,47.97,96.33,2921
2021-01-24 03:00:00,16,11.15,10.74,97.69,4188
2021-01-24 06:00:00,15,46.93,46.16,82.5,4946
2021-01-24 12:00:00,18,15.5,10.14,98.24,4046
2021-01-24 13:00:00,16,35.29,31.69,62.09,4196
2021-01-24 15:00:00,0,46.61,44.7,89.86,2777
2021-01-24 16:00:00,0,14.36,23.01,103.43,4408
2021-01-24 16:00:00,13,37.13,30.31,90.3,4133
2021-01-24 16:00:00,15,23.25,19.9,110.97,4473
2021-01-24 16:00:00,18,17.08,18.54,78.28,5065
2021-01-24 18:00:00,3,14.65,15.47,52.61,1355
2021-01-24 18:00:00,4,29.96,34.26,103.64,2244
2021-01-24 20:00:00,0,6.5,7.63,53.71,3373
2021-01-24 22:00:00,18,56.17,59.38,107.73,3153
2021-01-24 23:00:00,0,53.61,49.99,99.48,5261
2021-01-24 23:00:00,13,15.3,14.14,70.11,5347
2021-01-25 00:00:00,0,5.82,11.1,80.82,2262
2021-01-25 00:00:00,14,11.39,7.7,82.11,4968
2021-01-25 02:00:00,14,39.33,40.49,71.34,2040
2021-01-25 03:00:00,14,8.63,11.64,66.4,4861
2021-01-25 05:00:00,10,59.97,55.86,116.89,2904
2021-01-25 06:00:00,3,17.81,17.66,56.77,1801
2021-01-25 06:00:00,5,12.44,14.25,51.31,4254
2021-01-25 10:00:00,0,49.58,51.58,69.78,4918
2021-01-25 11:00:00,5,47.05,48.2,90.87,2956
2021-01-25 12:00:00,0,16.66,22.0,100.85,4457
2021-01-25 12:00:00,13,59.08,57.8,59.75,4134
2021-01-25 13:00:00,5,57.16,54.48,76.78,2411
2021-01-25 16:00:00,15,27.45,31.67,57.06,2771
2021-01-25 17:00:00,14,27.37,29.97,95.45,4527
2021-01-25 18:00:00,3,35.28,39.43,82.02,2131
2021-01-25 18:00:00,9,26.81,25.38,75.53,4264
2021-01-25 19:00:00,0,6.35,5.0,70.81,3473
2021-01-25 20:00:00,1,22.81,18.05,102.68,3672
2021-01-25 21:00:00,10,38.15,35.87,84.63,3629
2021-01-26 05:00:00,0,19.11,23.76,97.52,5089
2021-01-26 06:00:00,17,29.67,30.22,108.26,5168
2021-01-26 08:00:00,18,5.2,5.7,54.15,2751
2021-01-26 09:00:00,0,35.3,30.97,96.92,2049
2021-01-26 09:00:00,3,53.48,51.43,75.05,2724
2021-01-26 09:00:00,4,21.81,20.44,65.28,1842
2021-01-26 11:00:00,14,53.81,52.04,53.57,2659
2021-01-26 12:00:00,3,38.66,37.34,109.01,1751
2021-01-26 20:00:00,3,48.94,48.52,58.14,1585
2021-01-26 21:00:00,1,48.88,53.07,109.74,1878
2021-01-26 23:00:00,3,41.78,43.0,104.35,4347
2021-01-27 01:00:00,4,33.47,33.19,71.55,5336
2021-01-27 01:00:00,18,19.54,21.14,50.74,4815
2021-01-27 02:00:00,4,15.03,10.02,88.25,3209
2021-01-27 02:00:00,18,52.32,56.84,92.24,2147
2021-01-27 03:00:00,0,50.6,48.68,62.63,1451
2021-01-27 03:00:00,18,31.61,28.87,107.03,5234
2021-01-27 04:00:00,1,5.3,5.0,69.26,1577
2021-01-27 05:00:00,4,55.71,57.48,69.36,2130
2021-01-27 06:00:00,0,39.21,38.5,119.51,3197
2021-01-27 06:00:00,3,25.84,23.62,95.42,1529
2021-01-27 08:00:00,14,58.59,58.94,86.99,3106
2021-01-27 09:00:00,1,14.26,8.56,118.45,2436
2021-01-27 11:00:00,0,28.7,27.47,95.52,2089
2021-01-27 11:00:00,3,51.95,53.37,79.11,3608
2021-01-27 13:00:00,1,57.09,57.71,54.47,2076
2021-01-27 17:00:00,0,12.5,9.07,61.94,3599
2021-01-27 17:00:00,5,24.72,17.7,56.53,2536
2021-01-27 21:00:00,5,34.09,34.01,75.12,2572
2021-01-27 21:00:00,16,55.38,55.14,95.04,2998
2021-01-27 23:00:00,0,49.26,54.36,65.1,2729
2021-01-28 00:00:00,0,55.66,60.0,52.75,4515
2021-01-28 01:00:00,18,16.32,22.83,62.65,2097
2021-01-28 04:00:00,4,22.29,20.41,60.74,1739
2021-01-28 04:00:00,18,13.73,12.2,97.09,2116
2021-01-28 06:00:00,0,53.15,51.23,59.76,1396
